timestamp,cadence,speed,stance_time,pronation_excursion,pitch_excursion,impact_gs,footstrike_type,pace
1569345935,43,18,,,,,,
1569345940,172,30,532,12,65,15,11.0,
1569345945,172,30,258,12,73,15,14.0,
1569345950,172,27,265,11,76,15,14.0,
1569345955,169,27,277,12,73,15,14.0,
1569345960,167,29,275,11,73,15,14.0,
1569345965,167,30,275,12,77,15,14.0,
1569345970,169,30,273,13,75,15,14.0,
1569345975,169,30,263,12,76,14,14.0,
1569345980,171,31,263,11,76,15,14.0,
1569345985,172,31,261,16,80,15,14.0,
1569345990,172,31,256,13,78,16,14.0,
1569345995,172,32,258,13,79,16,14.0,315.0
1569346000,172,32,262,13,80,15,14.0,
1569346005,172,31,252,15,80,15,14.0,
1569346010,172,33,261,14,79,15,14.0,
1569346015,172,32,255,15,83,16,14.0,
1569346020,171,31,252,15,81,15,14.0,
1569346025,171,31,258,14,80,15,14.0,
1569346030,172,31,259,13,78,16,14.0,
1569346035,175,30,258,14,78,15,14.0,
1569346040,174,29,263,13,77,15,14.0,
1569346045,168,30,265,14,78,14,14.0,
1569346050,168,30,256,13,79,14,14.0,
1569346055,170,31,268,13,77,14,14.0,345.0
1569346060,170,30,265,11,80,14,14.0,
1569346064,,,,,,,,455.0
1569346065,170,30,266,13,78,15,14.0,
1569346070,170,30,265,11,80,15,14.0,
1569346075,170,31,262,12,80,15,14.0,
1569346080,170,31,263,12,79,15,14.0,
1569346085,170,31,264,12,79,14,14.0,
1569346090,170,31,265,12,81,14,14.0,
1569346095,170,31,263,12,82,13,14.0,
1569346100,171,31,262,12,82,14,14.0,
1569346105,172,31,261,13,83,14,14.0,
1569346110,174,33,266,12,82,15,14.0,
1569346115,174,33,267,12,85,16,14.0,
1569346120,174,33,264,12,89,17,14.0,
1569346125,172,34,266,13,85,15,14.0,
1569346130,172,33,257,15,87,16,14.0,
1569346135,172,32,253,13,84,14,14.0,
1569346140,174,30,264,12,82,14,14.0,
1569346145,174,29,269,12,80,16,14.0,
1569346150,176,31,265,16,81,16,14.0,
1569346155,176,31,263,15,79,16,14.0,
1569346160,175,29,262,14,80,15,14.0,
1569346165,172,29,268,15,81,14,14.0,
1569346170,171,30,269,15,80,14,14.0,
1569346175,171,29,256,14,82,15,14.0,
1569346180,170,29,275,12,80,13,14.0,
1569346185,171,31,266,12,82,15,14.0,
1569346190,172,30,254,15,80,15,14.0,
1569346195,175,31,259,13,82,15,14.0,
1569346200,172,30,257,16,81,16,14.0,
1569346205,172,29,259,16,83,14,14.0,
1569346210,170,30,264,17,84,13,14.0,
1569346215,169,30,263,14,84,15,14.0,
1569346220,170,31,262,13,83,14,14.0,
1569346225,170,32,257,13,85,14,14.0,
1569346230,172,31,258,13,87,16,14.0,
1569346235,175,31,258,15,84,17,14.0,
1569346240,175,32,265,14,85,17,14.0,
1569346245,174,31,253,15,87,16,14.0,
1569346250,172,31,259,15,87,14,14.0,
1569346255,172,32,260,14,85,15,14.0,
1569346260,170,31,267,14,88,14,14.0,
1569346265,168,32,262,16,87,14,14.0,
1569346270,168,33,261,16,87,16,14.0,
1569346275,168,33,263,14,89,16,14.0,
1569346280,168,32,266,14,90,16,14.0,
1569346285,169,32,257,16,90,15,14.0,
1569346290,170,32,260,17,90,15,14.0,
1569346295,169,32,260,18,91,14,14.0,
1569346300,169,29,263,16,89,15,14.0,
1569346305,169,32,259,19,88,15,14.0,
1569346310,171,34,255,16,90,16,14.0,
1569346315,171,33,256,13,91,15,14.0,
1569346320,171,32,255,15,89,15,14.0,
1569346325,170,31,260,15,89,13,14.0,
1569346330,170,31,259,17,89,15,14.0,
1569346335,170,29,262,16,87,13,14.0,
1569346340,170,31,257,16,90,14,14.0,
1569346345,170,32,265,16,88,13,14.0,
1569346350,170,32,261,15,89,15,14.0,
1569346355,169,32,261,15,90,15,14.0,
1569346360,169,30,268,15,91,15,14.0,
1569346365,168,29,265,16,87,14,14.0,
1569346370,168,30,269,17,90,13,14.0,
1569346375,165,28,267,16,89,14,14.0,
1569346380,163,28,272,13,86,14,14.0,
1569346385,163,30,273,14,88,14,14.0,
1569346390,163,31,273,14,90,15,14.0,
1569346395,163,30,269,14,93,14,14.0,
1569346400,163,29,266,15,93,15,14.0,
1569346405,163,27,270,15,90,13,14.0,
1569346410,163,27,272,16,86,13,14.0,
1569346415,163,30,273,19,89,12,14.0,
1569346420,164,30,264,16,90,14,14.0,
1569346425,164,29,262,16,90,13,14.0,
1569346430,164,30,270,15,87,15,14.0,
1569346435,164,30,270,14,87,14,14.0,
1569346440,164,31,271,13,89,15,14.0,
1569346445,164,27,271,15,89,14,14.0,
1569346450,163,25,278,14,85,13,14.0,
1569346455,161,26,282,18,85,13,14.0,
1569346460,161,26,280,16,84,14,14.0,
1569346465,163,26,288,13,83,12,14.0,
1569346470,163,27,273,14,84,13,14.0,
1569346475,163,26,276,17,82,13,14.0,
1569346480,163,27,277,16,82,13,14.0,
1569346485,162,27,272,16,85,13,14.0,
1569346490,161,25,280,12,84,13,14.0,
1569346495,163,26,298,11,78,13,14.0,
1569346500,162,26,286,14,82,12,14.0,
1569346505,162,26,281,14,83,13,14.0,
1569346510,161,25,282,14,84,12,14.0,
1569346515,161,25,283,12,82,12,14.0,
1569346520,161,26,282,13,83,12,14.0,
1569346525,162,26,281,11,82,14,14.0,
1569346530,164,26,279,14,81,14,14.0,
1569346535,164,26,278,12,83,13,14.0,
1569346540,165,26,278,14,84,13,14.0,
1569346545,162,27,279,13,82,12,14.0,
1569346550,163,27,274,15,85,12,14.0,
1569346555,162,28,278,11,83,13,13.0,
1569346560,163,27,272,12,88,13,14.0,
1569346565,162,29,285,14,84,13,14.0,
1569346570,162,29,273,13,86,13,14.0,
1569346575,162,27,262,14,88,14,14.0,
1569346580,163,28,267,17,89,14,14.0,
1569346585,165,27,265,17,85,14,14.0,
1569346590,165,26,275,12,82,11,14.0,
1569346595,165,26,284,13,83,12,14.0,
1569346600,163,28,283,13,82,12,14.0,
1569346605,163,26,276,13,85,12,14.0,
1569346610,161,25,276,13,84,12,14.0,
1569346615,161,27,281,14,81,13,14.0,
1569346620,162,25,290,13,84,13,14.0,
1569346625,162,26,291,12,81,12,14.0,
1569346630,162,26,291,11,79,11,14.0,
1569346635,162,25,286,12,80,12,14.0,
1569346640,163,29,289,12,79,12,14.0,
1569346645,162,27,277,12,85,13,14.0,
1569346650,162,26,288,14,83,11,14.0,
1569346655,162,25,279,16,84,12,14.0,
1569346660,162,11,287,16,81,13,14.0,
1569346665,129,0,646,7,58,10,13.0,
1569346670,,,0,0,0,0,,
